No,Y,X1,X2,X3,X4,X5,X6
1,37.9,2012.917,32,84.87882,10,24.98298,121.54024
2,42.2,2012.917,19.5,306.5947,9,24.98034,121.53951
3,47.3,2013.583,13.3,561.9845,5,24.98746,121.54391
4,54.8,2013.500,13.3,561.9845,5,24.98746,121.54391
5,43.1,2012.833,5,390.5684,5,24.97937,121.54245
6,32.1,2012.667,7.1,2175.03,3,24.96305,121.51254
7,40.3,2012.667,34.5,623.4731,7,24.97933,121.53642
8,46.7,2013.417,20.3,287.6025,6,24.98042,121.54228
9,18.8,2013.500,31.7,5512.038,1,24.95095,121.48458
10,22.1,2013.417,17.9,1783.18,3,24.96731,121.51486
11,41.4,2013.083,34.8,405.2134,1,24.97349,121.53372
12,58.1,2013.333,6.3,90.45606,9,24.97433,121.5431
13,39.3,2012.917,13,492.2313,5,24.96515,121.53737
14,23.8,2012.667,20.4,2469.645,4,24.96108,121.51046
15,34.3,2013.500,13.2,1164.838,4,24.99156,121.53406
16,50.5,2013.583,35.7,579.2083,2,24.9824,121.54619
17,70.1,2013.250,0,292.9978,6,24.97744,121.54458
18,37.4,2012.750,17.7,350.8515,1,24.97544,121.53119
19,42.3,2013.417,16.9,368.1363,8,24.9675,121.54451
20,47.7,2012.667,1.5,23.38284,7,24.96772,121.54102
21,29.3,2013.417,4.5,2275.877,3,24.96314,121.51151
22,51.6,2013.417,10.5,279.1726,7,24.97528,121.54541
23,24.6,2012.917,14.7,1360.139,1,24.95204,121.54842
24,47.9,2013.083,10.1,279.1726,7,24.97528,121.54541
25,38.8,2013.000,39.6,480.6977,4,24.97353,121.53885
26,27,2013.083,29.3,1487.868,2,24.97542,121.51726
27,56.2,2012.667,3.1,383.8624,5,24.98085,121.54391
28,33.6,2013.250,10.4,276.449,5,24.95593,121.53913
29,47,2013.500,19.2,557.478,4,24.97419,121.53797
30,57.1,2013.083,7.1,451.2438,5,24.97563,121.54694
31,22.1,2013.500,25.9,4519.69,0,24.94826,121.49587
32,25,2012.750,29.6,769.4034,7,24.98281,121.53408
33,34.2,2012.750,37.9,488.5727,1,24.97349,121.53451
34,49.3,2013.250,16.5,323.655,6,24.97841,121.54281
35,55.1,2012.750,15.4,205.367,7,24.98419,121.54243
36,27.3,2013.500,13.9,4079.418,0,25.01459,121.51816
37,22.9,2012.917,14.7,1935.009,2,24.96386,121.51458
38,25.3,2013.167,12,1360.139,1,24.95204,121.54842
39,47.7,2012.667,3.1,577.9615,6,24.97201,121.54722
40,46.2,2013.167,16.2,289.3248,5,24.98203,121.54348
41,15.9,2013.000,13.6,4082.015,0,24.94155,121.50381
42,18.2,2013.500,16.8,4066.587,0,24.94297,121.50342
43,34.7,2013.417,36.1,519.4617,5,24.96305,121.53758
44,34.1,2012.750,34.4,512.7871,6,24.98748,121.54301
45,53.9,2013.583,2.7,533.4762,4,24.97445,121.54765
46,38.3,2013.083,36.6,488.8193,8,24.97015,121.54494
47,42,2013.417,21.7,463.9623,9,24.9703,121.54458
48,61.5,2013.583,35.9,640.7391,3,24.97563,121.53715
49,13.4,2013.417,24.2,4605.749,0,24.94684,121.49578
50,13.2,2012.667,29.4,4510.359,1,24.94925,121.49542
51,44.2,2013.417,21.7,512.5487,4,24.974,121.53842
52,20.7,2013.083,31.3,1758.406,1,24.95402,121.55282
53,27,2013.583,32.1,1438.579,3,24.97419,121.5175
54,38.9,2013.083,13.3,492.2313,5,24.96515,121.53737
55,51.7,2013.083,16.1,289.3248,5,24.98203,121.54348
56,13.7,2012.833,31.7,1160.632,0,24.94968,121.53009
57,41.9,2013.417,33.6,371.2495,8,24.97254,121.54059
58,53.5,2012.917,3.5,56.47425,7,24.95744,121.53711
59,22.6,2013.500,30.3,4510.359,1,24.94925,121.49542
60,42.4,2013.083,13.3,336.0532,5,24.95776,121.53438
61,21.3,2013.417,11,1931.207,2,24.96365,121.51471
62,63.2,2013.500,5.3,259.6607,6,24.97585,121.54516
63,27.7,2012.917,17.2,2175.877,3,24.96303,121.51254
64,55,2013.583,2.6,533.4762,4,24.97445,121.54765
65,25.3,2013.333,17.5,995.7554,0,24.96305,121.54915
66,44.3,2013.417,40.1,123.7429,8,24.97635,121.54329
67,50.7,2013.000,1,193.5845,6,24.96571,121.54089
68,56.8,2013.500,8.5,104.8101,5,24.96674,121.54067
69,36.2,2013.417,30.4,464.223,6,24.97964,121.53805
70,42,2012.833,12.5,561.9845,5,24.98746,121.54391
71,59,2013.583,6.6,90.45606,9,24.97433,121.5431
72,40.8,2013.083,35.5,640.7391,3,24.97563,121.53715
73,36.3,2013.583,32.5,424.5442,8,24.97587,121.53913
74,20,2013.167,13.8,4082.015,0,24.94155,121.50381
75,54.4,2012.917,6.8,379.5575,10,24.98343,121.53762
76,29.5,2013.500,12.3,1360.139,1,24.95204,121.54842
77,36.8,2013.583,35.9,616.4004,3,24.97723,121.53767
78,25.6,2012.833,20.5,2185.128,3,24.96322,121.51237
79,29.8,2012.917,38.2,552.4371,2,24.97598,121.53381
80,26.5,2013.000,18,1414.837,1,24.95182,121.54887
81,40.3,2013.500,11.8,533.4762,4,24.97445,121.54765
82,36.8,2013.000,30.8,377.7956,6,24.96427,121.53964
83,48.1,2013.083,13.2,150.9347,7,24.96725,121.54252
84,17.7,2012.917,25.3,2707.392,3,24.96056,121.50831
85,43.7,2013.083,15.1,383.2805,7,24.96735,121.54464
86,50.8,2012.750,0,338.9679,9,24.96853,121.54413
87,27,2012.833,1.8,1455.798,1,24.9512,121.549
88,18.3,2013.583,16.9,4066.587,0,24.94297,121.50342
89,48,2012.917,8.9,1406.43,0,24.98573,121.52758
90,25.3,2013.500,23,3947.945,0,24.94783,121.50243
91,45.4,2012.833,0,274.0144,1,24.9748,121.53059
92,43.2,2013.250,9.1,1402.016,0,24.98569,121.5276
93,21.8,2012.917,20.6,2469.645,4,24.96108,121.51046
94,16.1,2012.917,31.9,1146.329,0,24.9492,121.53076
95,41,2012.917,40.9,167.5989,5,24.9663,121.54026
96,51.8,2012.917,8,104.8101,5,24.96674,121.54067
97,59.5,2013.417,6.4,90.45606,9,24.97433,121.5431
98,34.6,2013.083,28.4,617.4424,3,24.97746,121.53299
99,51,2013.417,16.4,289.3248,5,24.98203,121.54348
100,62.2,2013.417,6.4,90.45606,9,24.97433,121.5431
101,38.2,2013.500,17.5,964.7496,4,24.98872,121.53411
102,32.9,2012.833,12.7,170.1289,1,24.97371,121.52984
103,54.4,2013.083,1.1,193.5845,6,24.96571,121.54089
104,45.7,2012.750,0,208.3905,6,24.95618,121.53844
105,30.5,2012.667,32.7,392.4459,6,24.96398,121.5425
106,71,2012.833,0,292.9978,6,24.97744,121.54458
107,47.1,2013.083,17.2,189.5181,8,24.97707,121.54308
108,26.6,2013.333,12.2,1360.139,1,24.95204,121.54842
109,34.1,2013.417,31.4,592.5006,2,24.9726,121.53561
110,28.4,2013.583,4,2147.376,3,24.96299,121.51284
111,51.6,2013.083,8.1,104.8101,5,24.96674,121.54067
112,39.4,2013.583,33.3,196.6172,7,24.97701,121.54224
113,23.1,2013.417,9.9,2102.427,3,24.96044,121.51462
114,7.6,2013.333,14.8,393.2606,6,24.96172,121.53812
115,53.3,2012.667,30.6,143.8383,8,24.98155,121.54142
116,46.4,2013.083,20.6,737.9161,2,24.98092,121.54739
117,12.2,2013.000,30.9,6396.283,1,24.94375,121.47883
118,13,2013.000,13.6,4197.349,0,24.93885,121.50383
119,30.6,2013.500,25.3,1583.722,3,24.96622,121.51709
120,59.6,2013.500,16.6,289.3248,5,24.98203,121.54348
121,31.3,2013.167,13.3,492.2313,5,24.96515,121.53737
122,48,2013.500,13.6,492.2313,5,24.96515,121.53737
123,32.5,2013.250,31.5,414.9476,4,24.98199,121.54464
124,45.5,2013.417,0,185.4296,0,24.9711,121.5317
125,57.4,2012.917,9.9,279.1726,7,24.97528,121.54541
126,48.6,2013.167,1.1,193.5845,6,24.96571,121.54089
127,62.9,2013.083,38.6,804.6897,4,24.97838,121.53477
128,55,2013.250,3.8,383.8624,5,24.98085,121.54391
129,60.7,2013.083,41.3,124.9912,6,24.96674,121.54039
130,41,2013.417,38.5,216.8329,7,24.98086,121.54162
131,37.5,2013.250,29.6,535.527,8,24.98092,121.53653
132,30.7,2013.500,4,2147.376,3,24.96299,121.51284
133,37.5,2013.167,26.6,482.7581,5,24.97433,121.53863
134,39.5,2012.833,18,373.3937,8,24.9866,121.54082
135,42.2,2012.667,33.4,186.9686,6,24.96604,121.54211
136,20.8,2012.917,18.9,1009.235,0,24.96357,121.54951
137,46.8,2012.750,11.4,390.5684,5,24.97937,121.54245
138,47.4,2013.500,13.6,319.0708,6,24.96495,121.54277
139,43.5,2013.167,10,942.4664,0,24.97843,121.52406
140,42.5,2012.667,12.9,492.2313,5,24.96515,121.53737
141,51.4,2013.250,16.2,289.3248,5,24.98203,121.54348
142,28.9,2013.333,5.1,1559.827,3,24.97213,121.51627
143,37.5,2013.417,19.8,640.6071,5,24.97017,121.54647
144,40.1,2013.500,13.6,492.2313,5,24.96515,121.53737
145,28.4,2013.083,11.9,1360.139,1,24.95204,121.54842
146,45.5,2012.917,2.1,451.2438,5,24.97563,121.54694
147,52.2,2012.750,0,185.4296,0,24.9711,121.5317
148,43.2,2012.750,3.2,489.8821,8,24.97017,121.54494
149,45.1,2013.500,16.4,3780.59,0,24.93293,121.51203
150,39.7,2012.667,34.9,179.4538,8,24.97349,121.54245
151,48.5,2013.250,35.8,170.7311,7,24.96719,121.54269
152,44.7,2013.500,4.9,387.7721,9,24.98118,121.53788
153,28.9,2013.333,12,1360.139,1,24.95204,121.54842
154,40.9,2013.250,6.5,376.1709,6,24.95418,121.53713
155,20.7,2013.500,16.9,4066.587,0,24.94297,121.50342
156,15.6,2013.167,13.8,4082.015,0,24.94155,121.50381
157,18.3,2013.583,30.7,1264.73,0,24.94883,121.52954
158,35.6,2013.250,16.1,815.9314,4,24.97886,121.53464
159,39.4,2013.000,11.6,390.5684,5,24.97937,121.54245
160,37.4,2012.667,15.5,815.9314,4,24.97886,121.53464
161,57.8,2012.917,3.5,49.66105,8,24.95836,121.53756
162,39.6,2013.417,19.2,616.4004,3,24.97723,121.53767
163,11.6,2012.750,16,4066.587,0,24.94297,121.50342
164,55.5,2013.500,8.5,104.8101,5,24.96674,121.54067
165,55.2,2012.833,0,185.4296,0,24.9711,121.5317
166,30.6,2012.917,13.7,1236.564,1,24.97694,121.55391
167,73.6,2013.417,0,292.9978,6,24.97744,121.54458
168,43.4,2013.417,28.2,330.0854,8,24.97408,121.54011
169,37.4,2013.083,27.6,515.1122,5,24.96299,121.5432
170,23.5,2013.417,8.4,1962.628,1,24.95468,121.55481
171,14.4,2013.333,24,4527.687,0,24.94741,121.49628
172,58.8,2013.083,3.6,383.8624,5,24.98085,121.54391
173,58.1,2013.583,6.6,90.45606,9,24.97433,121.5431
174,35.1,2013.083,41.3,401.8807,4,24.98326,121.5446
175,45.2,2013.417,4.3,432.0385,7,24.9805,121.53778
176,36.5,2013.083,30.2,472.1745,3,24.97005,121.53758
177,19.2,2012.833,13.9,4573.779,0,24.94867,121.49507
178,42,2013.083,33,181.0766,9,24.97697,121.54262
179,36.7,2013.500,13.1,1144.436,4,24.99176,121.53456
180,42.6,2013.083,14,438.8513,1,24.97493,121.5273
181,15.5,2012.667,26.9,4449.27,0,24.94898,121.49621
182,55.9,2013.167,11.6,201.8939,8,24.98489,121.54121
183,23.6,2013.500,13.5,2147.376,3,24.96299,121.51284
184,18.8,2013.500,17,4082.015,0,24.94155,121.50381
185,21.8,2012.750,14.1,2615.465,0,24.95495,121.56174
186,21.5,2012.750,31.4,1447.286,3,24.97285,121.5173
187,25.7,2013.167,20.9,2185.128,3,24.96322,121.51237
188,22,2013.000,8.9,3078.176,0,24.95464,121.56627
189,44.3,2012.917,34.8,190.0392,8,24.97707,121.54312
190,20.5,2012.917,16.3,4066.587,0,24.94297,121.50342
191,42.3,2013.500,35.3,616.5735,8,24.97945,121.53642
192,37.8,2013.167,13.2,750.0704,2,24.97371,121.54951
193,42.7,2013.167,43.8,57.58945,7,24.9675,121.54069
194,49.3,2013.417,9.7,421.479,5,24.98246,121.54477
195,29.3,2013.500,15.2,3771.895,0,24.93363,121.51158
196,34.6,2013.333,15.2,461.1016,5,24.95425,121.5399
197,36.6,2013.000,22.8,707.9067,2,24.981,121.54713
198,48.2,2013.250,34.4,126.7286,8,24.96881,121.54089
199,39.1,2013.083,34,157.6052,7,24.96628,121.54196
200,31.6,2013.417,18.2,451.6419,8,24.96945,121.5449
201,25.5,2013.417,17.4,995.7554,0,24.96305,121.54915
202,45.9,2013.417,13.1,561.9845,5,24.98746,121.54391
203,31.5,2012.917,38.3,642.6985,3,24.97559,121.53713
204,46.1,2012.667,15.6,289.3248,5,24.98203,121.54348
205,26.6,2013.000,18,1414.837,1,24.95182,121.54887
206,21.4,2013.083,12.8,1449.722,3,24.97289,121.51728
207,44,2013.250,22.2,379.5575,10,24.98343,121.53762
208,34.2,2013.083,38.5,665.0636,3,24.97503,121.53692
209,26.2,2012.750,11.5,1360.139,1,24.95204,121.54842
210,40.9,2012.833,34.8,175.6294,8,24.97347,121.54271
211,52.2,2013.500,5.2,390.5684,5,24.97937,121.54245
212,43.5,2013.083,0,274.0144,1,24.9748,121.53059
213,31.1,2013.333,17.6,1805.665,2,24.98672,121.52091
214,58,2013.083,6.2,90.45606,9,24.97433,121.5431
215,20.9,2013.583,18.1,1783.18,3,24.96731,121.51486
216,48.1,2013.333,19.2,383.7129,8,24.972,121.54477
217,39.7,2013.250,37.8,590.9292,1,24.97153,121.53559
218,40.8,2012.917,28,372.6242,6,24.97838,121.54119
219,43.8,2013.417,13.6,492.2313,5,24.96515,121.53737
220,40.2,2012.750,29.3,529.7771,8,24.98102,121.53655
221,78.3,2013.333,37.2,186.5101,9,24.97703,121.54265
222,38.5,2013.333,9,1402.016,0,24.98569,121.5276
223,48.5,2013.583,30.6,431.1114,10,24.98123,121.53743
224,42.3,2013.250,9.1,1402.016,0,24.98569,121.5276
225,46,2013.333,34.5,324.9419,6,24.97814,121.5417
226,49,2013.250,1.1,193.5845,6,24.96571,121.54089
227,12.8,2013.000,16.5,4082.015,0,24.94155,121.50381
228,40.2,2012.917,32.4,265.0609,8,24.98059,121.53986
229,46.6,2013.417,11.9,3171.329,0,25.00115,121.51776
230,19,2013.583,31,1156.412,0,24.9489,121.53095
231,33.4,2013.500,4,2147.376,3,24.96299,121.51284
232,14.7,2012.833,16.2,4074.736,0,24.94235,121.50357
233,17.4,2012.917,27.1,4412.765,1,24.95032,121.49587
234,32.4,2013.333,39.7,333.3679,9,24.98016,121.53932
235,23.9,2013.250,8,2216.612,4,24.96007,121.51361
236,39.3,2012.750,12.9,250.631,7,24.96606,121.54297
237,61.9,2013.167,3.6,373.8389,10,24.98322,121.53765
238,39,2013.167,13,732.8528,0,24.97668,121.52518
239,40.6,2013.083,12.8,732.8528,0,24.97668,121.52518
240,29.7,2013.500,18.1,837.7233,0,24.96334,121.54767
241,28.8,2013.083,11,1712.632,2,24.96412,121.5167
242,41.4,2013.500,13.7,250.631,7,24.96606,121.54297
243,33.4,2012.833,2,2077.39,3,24.96357,121.51329
244,48.2,2013.417,32.8,204.1705,8,24.98236,121.53923
245,21.7,2013.083,4.8,1559.827,3,24.97213,121.51627
246,40.8,2013.417,7.5,639.6198,5,24.97258,121.54814
247,40.6,2013.417,16.4,389.8219,6,24.96412,121.54273
248,23.1,2013.333,21.7,1055.067,0,24.96211,121.54928
249,22.3,2013.000,19,1009.235,0,24.96357,121.54951
250,15,2012.833,18,6306.153,1,24.95743,121.47516
251,30,2013.167,39.2,424.7132,7,24.97429,121.53917
252,13.8,2012.917,31.7,1159.454,0,24.9496,121.53018
253,52.7,2012.833,5.9,90.45606,9,24.97433,121.5431
254,25.9,2012.667,30.4,1735.595,2,24.96464,121.51623
255,51.8,2012.667,1.1,329.9747,5,24.98254,121.54395
256,17.4,2013.417,31.5,5512.038,1,24.95095,121.48458
257,26.5,2012.667,14.6,339.2289,1,24.97519,121.53151
258,43.9,2013.250,17.3,444.1334,1,24.97501,121.5273
259,63.3,2013.417,0,292.9978,6,24.97744,121.54458
260,28.8,2013.083,17.7,837.7233,0,24.96334,121.54767
261,30.7,2013.250,17,1485.097,4,24.97073,121.517
262,24.4,2013.167,16.2,2288.011,3,24.95885,121.51359
263,53,2012.917,15.9,289.3248,5,24.98203,121.54348
264,31.7,2013.417,3.9,2147.376,3,24.96299,121.51284
265,40.6,2013.167,32.6,493.657,7,24.96968,121.54522
266,38.1,2012.833,15.7,815.9314,4,24.97886,121.53464
267,23.7,2013.250,17.8,1783.18,3,24.96731,121.51486
268,41.1,2012.833,34.7,482.7581,5,24.97433,121.53863
269,40.1,2013.417,17.2,390.5684,5,24.97937,121.54245
270,23,2013.000,17.6,837.7233,0,24.96334,121.54767
271,117.5,2013.333,10.8,252.5822,1,24.9746,121.53046
272,26.5,2012.917,17.7,451.6419,8,24.96945,121.5449
273,40.5,2012.750,13,492.2313,5,24.96515,121.53737
274,29.3,2013.417,13.2,170.1289,1,24.97371,121.52984
275,41,2013.167,27.5,394.0173,7,24.97305,121.53994
276,49.7,2012.667,1.5,23.38284,7,24.96772,121.54102
277,34,2013.000,19.1,461.1016,5,24.95425,121.5399
278,27.7,2013.417,21.2,2185.128,3,24.96322,121.51237
279,44,2012.750,0,208.3905,6,24.95618,121.53844
280,31.1,2013.417,2.6,1554.25,3,24.97026,121.51642
281,45.4,2013.250,2.3,184.3302,6,24.96581,121.54086
282,44.8,2013.333,4.7,387.7721,9,24.98118,121.53788
283,25.6,2012.917,2,1455.798,1,24.9512,121.549
284,23.5,2013.417,33.5,1978.671,2,24.98674,121.51844
285,34.4,2012.917,15,383.2805,7,24.96735,121.54464
286,55.3,2013.167,30.1,718.2937,3,24.97509,121.53644
287,56.3,2012.917,5.9,90.45606,9,24.97433,121.5431
288,32.9,2013.000,19.2,461.1016,5,24.95425,121.5399
289,51,2013.583,16.6,323.6912,6,24.97841,121.5428
290,44.5,2013.333,13.9,289.3248,5,24.98203,121.54348
291,37,2013.083,37.7,490.3446,0,24.97217,121.53471
292,54.4,2012.833,3.4,56.47425,7,24.95744,121.53711
293,24.5,2013.083,17.5,395.6747,5,24.95674,121.534
294,42.5,2012.667,12.6,383.2805,7,24.96735,121.54464
295,38.1,2013.500,26.4,335.5273,6,24.9796,121.5414
296,21.8,2013.167,18.2,2179.59,3,24.96299,121.51252
297,34.1,2012.750,12.5,1144.436,4,24.99176,121.53456
298,28.5,2012.833,34.9,567.0349,4,24.97003,121.5458
299,16.7,2013.333,16.7,4082.015,0,24.94155,121.50381
300,46.1,2013.167,33.2,121.7262,10,24.98178,121.54059
301,36.9,2013.083,2.5,156.2442,4,24.96696,121.53992
302,35.7,2012.750,38,461.7848,0,24.97229,121.53445
303,23.2,2013.500,16.5,2288.011,3,24.95885,121.51359
304,38.4,2013.500,38.3,439.7105,0,24.97161,121.53423
305,29.4,2013.417,20,1626.083,3,24.96622,121.51668
306,55,2013.083,16.2,289.3248,5,24.98203,121.54348
307,50.2,2013.500,14.4,169.9803,1,24.97369,121.52979
308,24.7,2012.833,10.3,3079.89,0,24.9546,121.56627
309,53,2013.417,16.4,289.3248,5,24.98203,121.54348
310,19.1,2013.250,30.3,1264.73,0,24.94883,121.52954
311,24.7,2013.583,16.4,1643.499,2,24.95394,121.55174
312,42.2,2013.167,21.3,537.7971,4,24.97425,121.53814
313,78,2013.583,35.4,318.5292,9,24.97071,121.54069
314,42.8,2013.333,8.3,104.8101,5,24.96674,121.54067
315,41.6,2013.250,3.7,577.9615,6,24.97201,121.54722
316,27.3,2013.083,15.6,1756.411,2,24.9832,121.51812
317,42,2013.250,13.3,250.631,7,24.96606,121.54297
318,37.5,2012.750,15.6,752.7669,2,24.97795,121.53451
319,49.8,2013.333,7.1,379.5575,10,24.98343,121.53762
320,26.9,2013.250,34.6,272.6783,5,24.95562,121.53872
321,18.6,2012.750,13.5,4197.349,0,24.93885,121.50383
322,37.7,2012.917,16.9,964.7496,4,24.98872,121.53411
323,33.1,2013.000,12.9,187.4823,1,24.97388,121.52981
324,42.5,2013.417,28.6,197.1338,6,24.97631,121.54436
325,31.3,2012.667,12.4,1712.632,2,24.96412,121.5167
326,38.1,2013.083,36.6,488.8193,8,24.97015,121.54494
327,62.1,2013.500,4.1,56.47425,7,24.95744,121.53711
328,36.7,2013.417,3.5,757.3377,3,24.97538,121.54971
329,23.6,2012.833,15.9,1497.713,3,24.97003,121.51696
330,19.2,2013.000,13.6,4197.349,0,24.93885,121.50383
331,12.8,2013.083,32,1156.777,0,24.94935,121.53046
332,15.6,2013.333,25.6,4519.69,0,24.94826,121.49587
333,39.6,2013.167,39.8,617.7134,2,24.97577,121.53475
334,38.4,2012.750,7.8,104.8101,5,24.96674,121.54067
335,22.8,2012.917,30,1013.341,5,24.99006,121.5346
336,36.5,2013.583,27.3,337.6016,6,24.96431,121.54063
337,35.6,2012.833,5.1,1867.233,2,24.98407,121.51748
338,30.9,2012.833,31.3,600.8604,5,24.96871,121.54651
339,36.3,2012.917,31.5,258.186,9,24.96867,121.54331
340,50.4,2013.333,1.7,329.9747,5,24.98254,121.54395
341,42.9,2013.333,33.6,270.8895,0,24.97281,121.53265
342,37,2013.000,13,750.0704,2,24.97371,121.54951
343,53.5,2012.667,5.7,90.45606,9,24.97433,121.5431
344,46.6,2013.000,33.5,563.2854,8,24.98223,121.53597
345,41.2,2013.500,34.6,3085.17,0,24.998,121.5155
346,37.9,2012.667,0,185.4296,0,24.9711,121.5317
347,30.8,2013.417,13.2,1712.632,2,24.96412,121.5167
348,11.2,2013.583,17.4,6488.021,1,24.95719,121.47353
349,53.7,2012.833,4.6,259.6607,6,24.97585,121.54516
350,47,2012.750,7.8,104.8101,5,24.96674,121.54067
351,42.3,2013.000,13.2,492.2313,5,24.96515,121.53737
352,28.6,2012.833,4,2180.245,3,24.96324,121.51241
353,25.7,2012.833,18.4,2674.961,3,24.96143,121.50827
354,31.3,2013.500,4.1,2147.376,3,24.96299,121.51284
355,30.1,2013.417,12.2,1360.139,1,24.95204,121.54842
356,60.7,2013.250,3.8,383.8624,5,24.98085,121.54391
357,45.3,2012.833,10.3,211.4473,1,24.97417,121.52999
358,44.9,2013.417,0,338.9679,9,24.96853,121.54413
359,45.1,2013.167,1.1,193.5845,6,24.96571,121.54089
360,24.7,2013.500,5.6,2408.993,0,24.95505,121.55964
361,47.1,2012.667,32.9,87.30222,10,24.983,121.54022
362,63.3,2013.083,41.4,281.205,8,24.97345,121.54093
363,40,2013.417,17.1,967.4,4,24.98872,121.53408
364,48,2013.500,32.3,109.9455,10,24.98182,121.54086
365,33.1,2013.417,35.3,614.1394,7,24.97913,121.53666
366,29.5,2012.917,17.3,2261.432,4,24.96182,121.51222
367,24.8,2012.750,14.2,1801.544,1,24.95153,121.55254
368,20.9,2012.833,15,1828.319,2,24.96464,121.51531
369,43.1,2013.417,18.2,350.8515,1,24.97544,121.53119
370,22.8,2012.667,20.2,2185.128,3,24.96322,121.51237
371,42.1,2012.750,15.9,289.3248,5,24.98203,121.54348
372,51.7,2013.500,4.1,312.8963,5,24.95591,121.53956
373,41.5,2013.000,33.9,157.6052,7,24.96628,121.54196
374,52.2,2013.083,0,274.0144,1,24.9748,121.53059
375,49.5,2013.250,5.4,390.5684,5,24.97937,121.54245
376,23.8,2013.250,21.7,1157.988,0,24.96165,121.55011
377,30.5,2013.417,14.7,1717.193,2,24.96447,121.51649
378,56.8,2013.333,3.9,49.66105,8,24.95836,121.53756
379,37.4,2013.333,37.3,587.8877,8,24.97077,121.54634
380,69.7,2013.333,0,292.9978,6,24.97744,121.54458
381,53.3,2013.333,14.1,289.3248,5,24.98203,121.54348
382,47.3,2013.417,8,132.5469,9,24.98298,121.53981
383,29.3,2013.000,16.3,3529.564,0,24.93207,121.51597
384,40.3,2012.667,29.1,506.1144,4,24.97845,121.53889
385,12.9,2012.750,16.1,4066.587,0,24.94297,121.50342
386,46.6,2013.000,18.3,82.88643,10,24.983,121.54026
387,55.3,2012.833,0,185.4296,0,24.9711,121.5317
388,25.6,2013.250,16.2,2103.555,3,24.96042,121.51462
389,27.3,2013.500,10.4,2251.938,4,24.95957,121.51353
390,67.7,2013.250,40.9,122.3619,8,24.96756,121.5423
391,38.6,2013.500,32.8,377.8302,9,24.97151,121.5435
392,31.3,2013.583,6.2,1939.749,1,24.95155,121.55387
393,35.3,2013.083,42.7,443.802,6,24.97927,121.53874
394,40.3,2013.000,16.9,967.4,4,24.98872,121.53408
395,24.7,2013.500,32.6,4136.271,1,24.95544,121.4963
396,42.5,2012.917,21.2,512.5487,4,24.974,121.53842
397,31.9,2012.667,37.1,918.6357,1,24.97198,121.55063
398,32.2,2013.417,13.1,1164.838,4,24.99156,121.53406
399,23,2013.417,14.7,1717.193,2,24.96447,121.51649
400,37.3,2012.917,12.7,170.1289,1,24.97371,121.52984
401,35.5,2013.250,26.8,482.7581,5,24.97433,121.53863
402,27.7,2013.083,7.6,2175.03,3,24.96305,121.51254
403,28.5,2012.833,12.7,187.4823,1,24.97388,121.52981
404,39.7,2012.667,30.9,161.942,9,24.98353,121.53966
405,41.2,2013.333,16.4,289.3248,5,24.98203,121.54348
406,37.2,2012.667,23,130.9945,6,24.95663,121.53765
407,40.5,2013.167,1.9,372.1386,7,24.97293,121.54026
408,22.3,2013.000,5.2,2408.993,0,24.95505,121.55964
409,28.1,2013.417,18.5,2175.744,3,24.9633,121.51243
410,15.4,2013.000,13.7,4082.015,0,24.94155,121.50381
411,50,2012.667,5.6,90.45606,9,24.97433,121.5431
412,40.6,2013.250,18.8,390.9696,7,24.97923,121.53986
413,52.5,2013.000,8.1,104.8101,5,24.96674,121.54067
414,63.9,2013.500,6.5,90.45606,9,24.97433,121.5431
